created_at,tweet,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
2020-08-20,NO JOKE I WILL HOP ON A PLANE RN! (Well after COVID19 lol),United States,no joke hop plane covid lol,"['no', 'joke', 'hop', 'plane', 'covid', 'lol']","['no', 'joke', 'hop', 'plane', 'covid', 'lol']",no joke hop plane covid lol,"[('no', None), ('joke', 'n'), ('hop', 'n'), ('plane', 'n'), ('covid', 'n'), ('lol', 'n')]",  no joke hop plane covid lol,0.375,0.2292,0.8,1,1,1
2020-08-20,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",United States,coronavirus impact govt extends deadlines related sections,"['coronavirus', 'impact', 'govt', 'extends', 'deadlines', 'related', 'sections']","['coronavirus', 'impact', 'govt', 'extends', 'deadline', 'related', 'section']",coronavirus impact govt extends deadline related section,"[('coronavirus', 'a'), ('impact', 'n'), ('govt', 'n'), ('extends', 'v'), ('deadlines', 'n'), ('related', 'a'), ('sections', 'n')]",  coronavirus impact govt extend deadline related section,0.125,0.1779,0.0,0,1,1
2020-08-20,"Dear Chinese! Kindly cook your bat thoroughly next time. Regards, COVID19 CoronaVirusUpdates CoronaVirus",United States,dear chinese kindly cook bat time covid coronavirusupdates coronavirus,"['dear', 'chinese', 'kindly', 'cook', 'bat', 'time', 'covid', 'coronavirusupdates', 'coronavirus']","['dear', 'chinese', 'kindly', 'cook', 'bat', 'time', 'covid', 'coronavirusupdates', 'coronavirus']",dear chinese kindly cook bat time covid coronavirusupdates coronavirus,"[('dear', 'a'), ('chinese', 'a'), ('kindly', 'r'), ('cook', 'v'), ('bat', 'n'), ('time', 'n'), ('covid', 'a'), ('coronavirusupdates', 'n'), ('coronavirus', 'v')]",  dear chinese kindly cook bat time covid coronavirusupdates coronavirus,1.0,0.7003,0.3,1,1,1
2020-08-20,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",United States,heard oncle france covid coma critical condition guys aint no joke safe,"['heard', 'oncle', 'france', 'covid', 'coma', 'critical', 'condition', 'guys', 'aint', 'no', 'joke', 'safe']","['heard', 'oncle', 'france', 'covid', 'coma', 'critical', 'condition', 'guy', 'aint', 'no', 'joke', 'safe']",heard oncle france covid coma critical condition guy aint no joke safe,"[('heard', 'a'), ('oncle', 'n'), ('france', 'n'), ('covid', 'n'), ('coma', 'n'), ('critical', 'a'), ('condition', 'n'), ('guys', 'n'), ('aint', 'v'), ('no', None), ('joke', 'n'), ('safe', 'a')]",  heard oncle france covid coma critical condition guy aint no joke safe,-0.125,0.1021,0.13333333333333333,1,-1,1
2020-08-20,books and wine are two of the greatest pleasures. Perfect for seeing us through covid19. Stay safe.,United States,books wine greatest pleasures perfect covid stay safe,"['books', 'wine', 'greatest', 'pleasures', 'perfect', 'covid', 'stay', 'safe']","['book', 'wine', 'greatest', 'pleasure', 'perfect', 'covid', 'stay', 'safe']",book wine greatest pleasure perfect covid stay safe,"[('books', 'n'), ('wine', 'v'), ('greatest', 'a'), ('pleasures', 'n'), ('perfect', 'v'), ('covid', 'a'), ('stay', 'n'), ('safe', 'a')]",  book wine great pleasure perfect covid stay safe,0.0,0.9371,0.7666666666666666,1,0,1
2020-08-20,Watch the government play off Corona virus as a big April Fools Joke,United States,watch government play corona virus big april fools joke,"['watch', 'government', 'play', 'corona', 'virus', 'big', 'april', 'fools', 'joke']","['watch', 'government', 'play', 'corona', 'virus', 'big', 'april', 'fool', 'joke']",watch government play corona virus big april fool joke,"[('watch', 'n'), ('government', 'n'), ('play', 'n'), ('corona', 'n'), ('virus', 'n'), ('big', 'a'), ('april', 'n'), ('fools', 'n'), ('joke', 'v')]",  watch government play corona virus big april fool joke,1.125,0.1779,0.0,0,1,1
2020-08-20,Anyone have a good roundup of what the countrys billionaires have done to respond to the coronavirus?,United States,good roundup countrys billionaires respond coronavirus,"['good', 'roundup', 'countrys', 'billionaires', 'respond', 'coronavirus']","['good', 'roundup', 'country', 'billionaire', 'respond', 'coronavirus']",good roundup country billionaire respond coronavirus,"[('good', 'a'), ('roundup', 'n'), ('countrys', 'n'), ('billionaires', 'v'), ('respond', 'v'), ('coronavirus', 'n')]",  good roundup country billionaires respond coronavirus,0.75,0.4404,0.7,1,1,1
2020-08-20,envious of pigeons poo brains 2day. they dont worry about coronavirus cos they dont have any thoughts,United States,envious pigeons brains day dont worry coronavirus cos dont thoughts,"['envious', 'pigeons', 'brains', 'day', 'dont', 'worry', 'coronavirus', 'cos', 'dont', 'thoughts']","['envious', 'pigeon', 'brain', 'day', 'dont', 'worry', 'coronavirus', 'co', 'dont', 'thought']",envious pigeon brain day dont worry coronavirus co dont thought,"[('envious', 'a'), ('pigeons', 'n'), ('brains', 'n'), ('day', 'n'), ('dont', 'v'), ('worry', 'n'), ('coronavirus', 'n'), ('cos', 'n'), ('dont', 'n'), ('thoughts', 'n')]",  envious pigeon brain day dont worry coronavirus co dont thought,0.5,0.0788,0.0,0,1,1
2020-08-20,Pushing the free therapy for health care workers when this COVID19 Arc is coming 2 an end.,United States,pushing free therapy health care workers covid arc coming end,"['pushing', 'free', 'therapy', 'health', 'care', 'workers', 'covid', 'arc', 'coming', 'end']","['pushing', 'free', 'therapy', 'health', 'care', 'worker', 'covid', 'arc', 'coming', 'end']",pushing free therapy health care worker covid arc coming end,"[('pushing', 'v'), ('free', 'a'), ('therapy', 'n'), ('health', 'n'), ('care', 'n'), ('workers', 'n'), ('covid', 'v'), ('arc', None), ('coming', 'a'), ('end', 'n')]",  push free therapy health care worker covid arc coming end,1.0,0.7579,0.4,1,1,1
2020-08-20,"I hope this corona virus was one big ass joke, good one world",United States,hope corona virus big ass joke good world,"['hope', 'corona', 'virus', 'big', 'ass', 'joke', 'good', 'world']","['hope', 'corona', 'virus', 'big', 'as', 'joke', 'good', 'world']",hope corona virus big as joke good world,"[('hope', 'n'), ('corona', 'n'), ('virus', 'n'), ('big', 'a'), ('ass', 'n'), ('joke', 'n'), ('good', 'a'), ('world', 'n')]",  hope corona virus big as joke good world,1.375,0.7906,0.35,1,1,1
